Item Name,Predicted Ordered Stock
Apple Juice,6
Aperol,8
Bacardi Blanco,5
Bira Moretti,17
Bombay Gin,5
Captain Morgan Spiced Rum,5
Chardonnay,4
Coca Cola,24
Coke Zero,24
Cointreau,4
Corona,18
Cranberry Juice,25
Dalmore 12,4
Diet Coke,4
Disaronno,5
Finlandia Vodka,4
Havana Club 3,5
Havana Club 7,4
High Commissioner,4
Irn Bru,4
J20,5
Jack Daniels,7
Kahlua,5
Lemonade,30
Light Tonic,15
Limoncello,5
Macallan 12,4
Malbec,5
Martini Rosso,5
Merlot,5
Moet,9
Orange Juice,5
Passoa,4
Peroni,28
Pineapple Juice,4
Pink Gin,5
Pinot Grigio,4
Prosecco,5
Rijoca,4
Sauvignon Blanc,6
St Germain,4
Tanqueray 10,6
Tonic Water,7
Season,Spring
